"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","label","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"4.618421052631579","0.0","0.21652421652421652","0.3333333333333333","9","3","0","false","Cre02.g117150","Cre02.g117150","74.33333333333333","3","0","false","0","Cre02.g117150","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g342600","Cre07.g342600","20.0","0","0","false","0","Cre07.g342600","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g329861,Cre07.g329882","Cre07.g329861,Cre07.g329882","6.0","0","0","false","0","Cre07.g329861,Cre07.g329882","0"
"1.75","0.0","0.5714285714285714","0.0","3","2","0","false","Cre16.g684750","Cre16.g684750","2.5","2","0","false","0","Cre16.g684750","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","Cre02.g081450","Cre02.g081450","15.0","0","0","false","0","Cre02.g081450","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre16.g661450","Cre16.g661450","15.0","1","0","false","0","Cre16.g661450","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre02.g091750,g1719","Cre02.g091750,g1719","14.5","0","0","false","0","Cre02.g091750,g1719","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g2756","g2756","6.0","0","0","false","0","g2756","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g100600","Cre02.g100600","2.0","0","0","false","0","Cre02.g100600","0"
"1.3333333333333333","0.0","0.75","0.0","2","2","0","false","g16741","g16741","2.0","2","0","false","0","g16741","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g073850","Cre02.g073850","2.0","0","0","false","0","Cre02.g073850","0"
"3.4347826086956523","0.00844599068210832","0.2911392405063291","0.26666666666666666","6","6","1","false","Cre06.g252600","Cre06.g252600","32.5","5","0","false","0","Cre06.g252600","7245413"
"0.0","0.0","0.0","0.0","0","3","3","false","Cre03.g195400","Cre03.g195400","9.333333333333334","0","0","false","0","Cre03.g195400","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre12.g540750","Cre12.g540750","3.0","1","0","false","0","Cre12.g540750","0"
"1.0","0.07364507983996726","1.0","0.0","1","3","2","false","Cre01.g043400","Cre01.g043400","11.333333333333334","1","0","false","0","Cre01.g043400","63444239"
"1.0","0.0033541487084854213","1.0","0.0","1","3","2","false","g16862","g16862","3.3333333333333335","1","0","false","0","g16862","685422"
"1.3333333333333333","0.0","0.75","0.5","2","2","0","false","Cre14.g619850","Cre14.g619850","22.5","2","0","false","0","Cre14.g619850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g16937","g16937","6.0","0","0","false","0","g16937","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre03.g149550","Cre03.g149550","9.0","0","0","false","0","Cre03.g149550","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre01.g055050","Cre01.g055050","5.0","0","0","false","0","Cre01.g055050","0"
"1.0","0.09217112490138428","1.0","0.0","1","2","1","false","g13107","g13107","13.0","1","0","false","0","g13107","134030884"
"0.0","0.0","0.0","0.0","0","1","1","false","FAS1,FAS2","FAS1,FAS2","11.0","0","0","false","0","FAS1,FAS2","0"
"0.0","0.0","0.0","0.5","0","2","2","false","Cre17.g727050","Cre17.g727050","8.5","0","0","false","0","Cre17.g727050","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre01.g015950","Cre01.g015950","2.0","0","0","false","0","Cre01.g015950","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre06.g297550","Cre06.g297550","7.0","0","0","false","0","Cre06.g297550","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre10.g427050","Cre10.g427050","10.0","0","0","false","0","Cre10.g427050","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre10.g455400","Cre10.g455400","10.0","0","0","false","0","Cre10.g455400","0"
"1.0","0.0","1.0","0.5","1","3","2","false","g6716","g6716","60.666666666666664","1","0","false","0","g6716","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre06.g270650","Cre06.g270650","3.0","0","0","false","0","Cre06.g270650","0"
"3.6153846153846154","0.0","0.2765957446808511","0.0","6","2","0","false","Cre06.g284450","Cre06.g284450","9.5","2","0","false","0","Cre06.g284450","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PEN2,TDP1","PEN2,TDP1","2.0","0","0","false","0","PEN2,TDP1","0"
"0.0","0.0","0.0","0.36666666666666664","0","6","6","false","Cre03.g203450","Cre03.g203450","19.666666666666668","0","0","false","0","Cre03.g203450","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g10334","g10334","13.0","0","0","false","0","g10334","0"
"2.5","0.0","0.4","0.0","4","1","0","false","Cre06.g248750","Cre06.g248750","5.0","1","0","false","0","Cre06.g248750","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g5636","g5636","2.0","1","0","false","0","g5636","0"
"1.4","0.043124854253953834","0.7142857142857143","0.08333333333333333","2","4","1","false","Cre12.g559450","Cre12.g559450","8.5","3","0","false","0","Cre12.g559450","34818837"
"5.472222222222222","0.0","0.18274111675126903","0.0","8","1","0","false","Cre06.g255350","Cre06.g255350","7.0","1","0","false","0","Cre06.g255350","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g9921","g9921","9.0","0","0","false","0","g9921","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre06.g270600","Cre06.g270600","6.0","1","0","false","0","Cre06.g270600","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre12.g496850,Cre12.g496900","Cre12.g496850,Cre12.g496900","2.0","0","0","false","0","Cre12.g496850,Cre12.g496900","0"
"0.0","0.0","0.0","0.5","0","3","3","false","g9123","g9123","19.333333333333332","0","0","false","0","g9123","0"
"3.0606060606060606","0.19635197760214793","0.32673267326732675","0.3238095238095238","6","15","11","false","Cre09.g388200","Cre09.g388200","39.8","4","0","false","0","Cre09.g388200","637506786"
"1.0","0.0","1.0","0.0","1","1","0","false","g5343","g5343","4.0","1","0","false","0","g5343","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre16.g685600","Cre16.g685600","31.0","0","0","false","0","Cre16.g685600","0"
"2.5","3.242460470088154E-4","0.4","0.2","4","5","4","false","Cre01.g049650","Cre01.g049650","20.8","1","0","false","0","Cre01.g049650","60647"
"6.605405405405405","0.0","0.1513911620294599","0.5","12","2","0","false","Cre05.g242650","Cre05.g242650","12.0","2","0","false","0","Cre05.g242650","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre17.g717800","Cre17.g717800","6.0","0","0","false","0","Cre17.g717800","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre04.g217250,g4522","Cre04.g217250,g4522","6.0","1","0","false","0","Cre04.g217250,g4522","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g10019","g10019","5.0","0","0","false","0","g10019","0"
"5.0","0.0","0.2","0.0","10","1","0","false","Cre04.g216350,Cre04.g216351","Cre04.g216350,Cre04.g216351","36.0","1","0","false","0","Cre04.g216350,Cre04.g216351","0"
"1.6","0.23635107916842743","0.625","0.16666666666666666","3","4","1","false","Cre11.g478456","Cre11.g478456","13.5","3","0","false","0","Cre11.g478456","309185835"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre13.g604200","Cre13.g604200","8.0","0","0","false","0","Cre13.g604200","0"
"1.0","0.0016736149895728145","1.0","0.0","1","3","1","false","Cre01.g053200","Cre01.g053200","6.666666666666667","2","0","false","0","Cre01.g053200","134134"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g331550","Cre07.g331550","5.0","0","0","false","0","Cre07.g331550","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g4381","g4381","3.0","0","0","false","0","g4381","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre09.g387850","Cre09.g387850","13.0","0","0","false","0","Cre09.g387850","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g42","g42","3.0","1","0","false","0","g42","0"
