AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,label,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0.5,0,3,3,FALSE,"ANK18,g1893","ANK18,g1893",20,0,0,FALSE,0,"ANK18,g1893",0
1.5,0,0.666666667,0,2,1,0,FALSE,g11928,g11928,3,1,0,FALSE,0,g11928,0
1.666666667,0,0.6,0,3,3,0,FALSE,g11716,g11716,5,3,0,FALSE,0,g11716,0
1,0,1,0.5,1,2,1,FALSE,Cre13.g587750,Cre13.g587750,6,1,0,FALSE,0,Cre13.g587750,0
0,0,0,0,0,1,1,FALSE,"Cre17.g736150,g17808","Cre17.g736150,g17808",5,0,0,FALSE,0,"Cre17.g736150,g17808",0
0,0,0,0,0,1,1,FALSE,g14420,g14420,4,0,0,FALSE,0,g14420,0
3.69874477,0.02816996,0.270361991,0.25,7,4,2,FALSE,Cre09.g405650,Cre09.g405650,42.25,2,0,FALSE,0,Cre09.g405650,13119238
0,0,0,0,0,1,1,FALSE,g18027,g18027,3,0,0,FALSE,0,g18027,0
1.25,0,0.8,0.333333333,2,3,0,FALSE,"Cre10.g428800,Cre10.g428850","Cre10.g428800,Cre10.g428850",4.333333333,3,0,FALSE,0,"Cre10.g428800,Cre10.g428850",0
0,0,0,0,0,2,2,FALSE,g15368,g15368,62,0,0,FALSE,0,g15368,0
0,0,0,0.5,0,2,2,FALSE,g12571,g12571,5,0,0,FALSE,0,g12571,0
3.4,0,0.294117647,0,5,1,0,FALSE,Cre10.g461050,Cre10.g461050,28,1,0,FALSE,0,Cre10.g461050,0
1.4,0.00338192,0.714285714,0.15,2,5,2,FALSE,Cre12.g502300,Cre12.g502300,6.2,3,0,FALSE,0,Cre12.g502300,310104
2,0,0.5,0.5,3,2,0,FALSE,Cre10.g457700,Cre10.g457700,7,2,0,FALSE,0,Cre10.g457700,0
1.25,0,0.8,0,2,3,0,FALSE,g11714,g11714,3.666666667,3,0,FALSE,0,g11714,0
4.486772487,0,0.222877358,0.5,10,3,0,FALSE,"Cre10.g464350,g11379","Cre10.g464350,g11379",29.33333333,3,0,FALSE,0,"Cre10.g464350,g11379",0
1,0,1,0,1,2,0,FALSE,Cre02.g099400,Cre02.g099400,2,2,0,FALSE,0,Cre02.g099400,0
0,0,0,0,0,1,1,FALSE,Cre04.g229100,Cre04.g229100,22,0,0,FALSE,0,Cre04.g229100,0
1,0,1,0,1,1,0,FALSE,Cre02.g075900,Cre02.g075900,5,1,0,FALSE,0,Cre02.g075900,0
2.727272727,0,0.366666667,0,4,1,0,FALSE,Cre02.g080500,Cre02.g080500,6,1,0,FALSE,0,Cre02.g080500,0
1,0,1,0,1,1,0,FALSE,g2896,g2896,16,1,0,FALSE,0,g2896,0
0,0,0,0,0,2,2,FALSE,Cre09.g398850,Cre09.g398850,6.5,0,0,FALSE,0,Cre09.g398850,0
0,0,0,0,0,1,1,FALSE,Cre12.g502227,Cre12.g502227,30,0,0,FALSE,0,Cre12.g502227,0
0,0,0,0,0,1,1,FALSE,Cre01.g020887,Cre01.g020887,80,0,0,FALSE,0,Cre01.g020887,0
1,0,1,0.5,1,2,0,FALSE,Cre17.g735750,Cre17.g735750,5,2,0,FALSE,0,Cre17.g735750,0
